,,,,,,,,,
AGE,CIVIL STATUS,"YOUTH 
CLASSIFICATION","YOUTH AGE
GROUP",EDUCATIONAL BACKGROUND,WORK STATUS,,,,
,,,,,,,,,
24,SINGLE,WY,CORE YOUTH,COLLEGE GRADUATE,EMPLOYED,,,,
25,MARRIED,WY,YOUNG ADULT,COLLEGE GRADUATE,EMPLOYED,,,,
22,MARRIED,WY,CORE YOUTH,HIGH SCHOOL GRADUATE,EMPLOYED,,,,
17,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
17,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
16,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
18,SINGLE,PWD,CORE YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
18,SINGLE,ISY,CORE YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
25,SINGLE,OSY,YOUNG ADULT,COLLEGE GRADUATE,UNEMPLOYED,,,,
21,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE,UNEMPLOYED,,,,
18,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE,UNEMPLOYED,,,,
16,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED,,,,
30,SINGLE,WY,YOUNG ADULT,COLLEGE GRADUATE,EMPLOYED,,,,
29,MARRIED,ISY,YOUNG ADULT,COLLEGE GRADUATE,UNEMPLOYED,,,,
15,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED,,,,
24,SINGLE,OSY,CORE YOUTH,COLLEGE GRADUATE,EMPLOYED,,,,
25,SINGLE,OSY,YOUNG ADULT,HIGH SCHOOL GRADUATE,CURRENTLY LOOKING FOR A JOB,,,,
24,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE,EMPLOYED,,,,
19,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE,EMPLOYED,,,,
22,SINGLE,OSY,YOUNG ADULT,HIGH SCHOOL UNDERGRADUATE,CURRENTLY LOOKING FOR A JOB,,,,
17,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED,,,,
15,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED,,,,
18,SINGLE,ISY,CORE YOUTH,COLLEGE UNDERGRADUATE,UNEMPLOYED,,,,
18,SINGLE,OSY,CORE YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
17,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL GRADUATE,UNEMPLOYED,,,,
15,SINGLE,ISY,CHILD YOUTH,HIGH SCHOOL UNDERGRADUATE,UNEMPLOYED,,,,
