AGE,CIVIL_STATUS,YOUTH_CLASSIFICATION,YOUTH_AGE_GROUP,EDUCATIONAL_BACKGROUND,WORK_STATUS,cycle,year
20,Single,In School Youth,Child Youth,High School Graduate,Unemployed,2,2021
15,Single,In School Youth,Child Youth,High School Undergraduate,Unemployed,1,2024
30,Married,Working Youth,Young Adult,College Undergraduate,Unemployed,1,2022
16,Single,In School Youth,Child Youth,College Undergraduate,Unemployed,2,2022
25,Single,Working Youth,Young Adult,College Undergraduate,Employed,1,2024
19,Live-In,In School Youth,Core Youth,College Undergaduate,Unemployed,2,2022
18,Single,In School Youth,Core Youth,High School Graduate,Unemployed,1,2022
27,Single,Working Youth,Core Youth,College Undergraduate,Unemployed,2,2024
20,Single,In School Youth,Child Youth,High School Graduate,Unemployed,1,2023
30,Single,Working Youth,Young Adult,High School Graduate,Not Interested In Looking For A Job,1,2023
30,Single,Working Youth,Young Adult,College Graduate,Unemployed,2,2023
24,Single,Out of School Youth,Core Youth,High School Graduate,Unemployed,1,2022
15,Single,In School Youth,Child Youth,High School Undergraduate,Unemployed,1,2024
22,Single,Out of School Youth,Core Youth,High School Graduate,Unemployed,2,2022
18,Single,In School Youth,Core Youth,High School Graduate,Unemployed,2,2024
26,Single,Working Youth,Core Youth,High School Graduate,Currently Looking For A Job,2,2023
23,Single,Working Youth,Core Youth,College Undergraduate,Not Interested In Looking For A Job,1,2021
19,Single,In School Youth,Child Youth,High School Undergraduate,Employed,2,2022
19,Single,In School Youth,Core Youth,High School Graduate,Unemployed,1,2024
23,Single,In School Youth,Core Youth,Elementary Undergraduate,Unemployed,1,2024
22,Single,YSN,Core Youth,High School Graduate,Unemployed,1,2021
18,Single,In School Youth,Core Youth,College Undergraduate,Employed,2,2022
27,Single,Out of School Youth,Young Adult,High School Undergraduate,Self-Employed,2,2022
22,Single,Out of School Youth,Young Adult,High School Undergraduate,Currently Looking For A Job,1,2024
15,Single,In School Youth,Child Youth,High School Undergraduate,Unemployed,1,2024
19,Single,In School Youth,Child Youth,College Undergraduate,Employed,1,2021
17,Single,In School Youth,Child Youth,College Undergraduate,Self-Employed,1,2021
15,Single,In School Youth,Child Youth,High School Undergraduate,Unemployed,1,2024
12,Single,In School Youth,Child Youth,College Undergaduate,Employed,1,2022
17,Single,Out of School Youth,Child Youth,College Undergraduate,Employed,1,2023
13,Single,In School Youth,Child Youth,High School Graduate,Self-Employed,2,2021
16,Single,In School Youth,Child Youth,High School Graduate,Unemployed,1,2024
17,Single,In School Youth,Child Youth,Nan,Unemployed,1,2023
21,Single,Out of School Youth,Core Youth,College Undergraduate,Self-Employed,2,2022
28,Live-In,Working Youth,Young Adult,High School Graduate,Unemployed,2,2022
15,Single,In School Youth,Core Youth,High School Graduate,Unemployed,1,2021
24,Single,YSN,Core Youth,High School Graduate,Unemployed,1,2023
27,Married,Working Youth,Young Adult,Masters Level,Unemployed,2,2021
26,Single,In School Youth,Core Youth,High School Graduate,Unemployed,1,2024
17,Single,In School Youth,Child Youth,High School Graduate,Unemployed,1,2024
18,Single,Out of School Youth,Core Youth,High School Graduate,Currently Looking For A Job,2,2022
24,Single,Working Youth,Core Youth,High School Undergraduate,Unemployed,2,2021
17,Single,In School Youth,Core Youth,College Undergraduate,Unemployed,1,2023
20,Single,In School Youth,Core Youth,College Undergraduate,Unemployed,1,2024
24,Live-In,YSN,Young Adult,High School Graduate,Unemployed,2,2021
28,Single,Working Youth,Young Adult,High School Graduate,Unemployed,2,2024
13,Single,Out of School Youth,Child Youth,Elementary Undergraduate,Unemployed,1,2024
14,Single,In School Youth,Child Youth,High School Graduate,Employed,2,2024
15,Single,In School Youth,Child Youth,Vocational Graduate,Unemployed,2,2023
14,Single,In School Youth,Child Youth,High School Undergraduate,Unemployed,1,2023
15,Single,In School Youth,Child Youth,High School Graduate,Unemployed,2,2024
28,Married,Working Youth,Young Adult,Nan,Unemployed,1,2022
22,Single,Working Youth,Core Youth,High School Graduate,Employed,1,2024
30,Live-In,YSN,Young Adult,High School Graduate,Unemployed,2,2024
18,Single,In School Youth,Child Youth,High School Graduate,Employed,1,2024
21,Single,Working Youth,Core Youth,College Undergaduate,Unemployed,1,2021
17,Single,In School Youth,Core Youth,College Graduate,Unemployed,2,2021
24,Live-In,Working Youth,Core Youth,High School Graduate,Employed,2,2024
22,Single,Working Youth,Core Youth,Elementary Graduate,Employed,1,2023
19,Single,Working Youth,Core Youth,Elementary Graduate,Employed,1,2022
17,Single,In School Youth,Child Youth,College Graduate,Unemployed,2,2021
27,Single,Working Youth,Young Adult,High School Graduate,Unemployed,2,2023
17,Single,In School Youth,Child Youth,College Undergraduate,Unemployed,1,2021
19,Single,In School Youth,Child Youth,High Shool Graduate,Unemployed,1,2024
